0 3.619 45.214 2.629
1 7.322 44.510 5.320
2 6.266 43.725 10.577
3 11.996 43.725 2.690
4 15.678 42.290 5.346
5 9.929 42.290 13.258
6 14.668 41.639 10.656
7 18.449 39.214 13.403
8 8.702 40.717 18.188
9 12.374 38.342 20.896
10 11.018 36.086 25.316
11 17.383 37.488 18.714
12 21.037 34.038 21.369
13 14.607 32.935 27.654
14 19.617 31.740 25.890
15 22.927 27.792 27.654
16 12.987 30.283 31.262
17 16.350 26.454 33.106
18 14.498 23.456 36.111
19 21.279 25.158 31.262
20 23.567 20.582 32.925
21 16.733 18.985 37.736
22 20.874 17.405 36.394
23 21.983 12.290 37.799
24 13.115 16.220 40.364
25 13.553 11.811 41.713
26 9.010 9.460 43.502
27 18.281 9.460 40.489
28 18.526 4.758 41.194
29 9.225 4.758 44.216
30 14.014 2.406 43.132
31 13.990 -2.859 43.057
32 4.574 2.351 45.145
33 4.518 -2.793 45.074
34 -0.057 -5.144 45.145
35 9.143 -5.651 44.071
36 8.814 -11.234 43.057
37 -0.130 -10.379 44.216
38 4.115 -13.612 43.132
39 4.030 -18.699 41.194
40 -4.432 -12.290 43.502
41 -4.503 -17.405 41.713
42 -8.643 -18.985 40.364
43 -0.286 -20.582 40.490
44 -1.160 -25.158 37.799
45 -9.497 -23.456 37.736
46 -6.231 -26.454 36.394
47 -7.868 -30.283 32.925
48 19.987 40.717 2.655
49 23.697 38.342 5.311
50 23.170 37.488 10.749
51 27.482 36.086 2.655
52 30.814 32.935 5.346
53 26.824 34.038 13.403
54 30.685 31.740 10.656
55 33.386 27.792 13.259
56 25.758 32.312 18.714
57 28.762 28.214 20.896
58 27.350 25.992 25.315
59 32.528 25.992 18.188
60 34.786 21.475 19.829
61 29.608 21.475 26.957
62 33.278 19.180 24.178
63 34.900 14.027 25.357
64 27.473 18.699 30.958
65 28.681 13.612 32.476
66 25.884 10.379 35.848
67 32.438 11.234 29.653
68 33.301 5.651 30.280
69 26.488 5.144 36.557
70 30.148 2.793 33.810
71 30.235 -2.351 33.834
72 22.835 2.351 39.211
73 22.839 -2.793 39.121
74 18.507 -5.651 41.028
75 26.582 -5.144 36.489
76 26.095 -10.379 35.696
77 18.178 -11.234 40.014
78 22.023 -13.612 37.313
79 20.953 -18.699 35.695
80 13.331 -14.027 41.028
81 12.711 -19.180 39.121
82 8.109 -21.475 39.212
83 16.488 -21.475 36.489
84 15.625 -25.992 33.834
85 7.246 -25.992 36.556
86 10.986 -28.214 33.811
87 9.839 -32.312 30.280
88 2.293 -27.792 35.849
89 0.653 -31.740 32.476
90 -4.437 -32.935 30.958
91 4.459 -34.038 29.653
92 3.063 -37.488 25.357
93 -5.967 -36.086 26.957
94 -2.271 -38.342 24.178
95 -3.651 -40.717 19.829
96 33.745 30.283 2.691
97 36.539 26.454 5.319
98 36.308 25.158 10.577
99 38.824 23.456 2.629
100 41.059 18.985 4.254
101 38.596 20.582 12.240
102 41.062 17.405 8.607
103 42.742 12.290 9.228
104 37.932 18.699 16.562
105 39.749 13.612 17.242
106 38.225 11.234 21.688
107 42.092 10.379 13.540
108 42.952 5.144 13.896
109 39.088 5.651 22.314
110 41.471 2.793 18.226
111 41.521 -2.351 18.301
112 36.626 2.859 26.611
113 36.690 -2.406 26.657
114 33.452 -4.758 30.349
115 39.201 -4.758 22.437
116 38.588 -9.460 22.012
117 32.858 -9.460 29.898
118 35.482 -11.811 25.780
119 34.335 -16.220 24.947
120 29.155 -12.290 32.589
121 28.162 -17.405 31.100
122 24.031 -20.582 32.589
123 30.718 -18.985 27.575
124 29.864 -23.456 24.947
125 23.157 -25.158 29.898
126 26.434 -26.454 25.780
127 25.719 -30.283 22.012
128 19.216 -27.792 30.350
129 18.561 -31.740 26.657
130 13.823 -34.038 26.610
131 21.787 -32.935 22.437
132 20.672 -36.086 18.301
133 12.427 -37.488 22.315
134 16.050 -38.342 18.226
135 14.609 -40.717 13.896
136 7.047 -39.214 21.687
137 5.603 -41.639 17.243
